post_office_name,post_code,thana_upazila,district,division,phone_number,officer_in_charge,designation,source
Amtali,8710,Amtali,Barguna,Barisal,N/A,N/A,N/A,Not Found
Bamna,8730,Bamna,Barguna,Barisal,N/A,N/A,N/A,Not Found
Barguna Sadar,8700,Barguna Sadar,Barguna,Barisal,N/A,N/A,N/A,Not Found
Nali Bandar,8701,Barguna Sadar,Barguna,Barisal,01748-907156,N/A,N/A,Google Maps Browser
Betagi,8740,Betagi,Barguna,Barisal,N/A,N/A,N/A,Not Found
Darul Ulam,8741,Betagi,Barguna,Barisal,01733-348080,N/A,N/A,Google Maps Browser
Kakchira,8721,Patharghata,Barguna,Barisal,N/A,N/A,N/A,Not Found
Patharghata,8720,Patharghata,Barguna,Barisal,N/A,N/A,N/A,Not Found
Agailzhara,8240,Agailzhara,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Gaila,8241,Agailzhara,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Paisarhat,8242,Agailzhara,Barisal,Barisal,01721-654597,N/A,N/A,Google Maps Browser
Babuganj,8210,Babuganj,Barisal,Barisal,N/A,N/A,N/A,Not Found
Barisal Cadet,8216,Babuganj,Barisal,Barisal,N/A,N/A,N/A,Not Found
Chandpasha,8212,Babuganj,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Madhabpasha,8213,Babuganj,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Nizamuddin College,8215,Babuganj,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Rahamatpur,8211,Babuganj,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Thakur Mallik,8214,Babuganj,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Barajalia,8260,Barajalia,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Osman Manjil,8261,Barajalia,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Kashipur,8205,Barisal Sadar,Barisal,Barisal,01727-223292,N/A,N/A,Google Maps Browser
Barisal Sadar,8200,Barisal Sadar,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Jaguarhat,8206,Barisal Sadar,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Bukhainagar,8201,Barisal Sadar,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Saheberhat,8202,Barisal Sadar,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Sugandia,8203,Barisal Sadar,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Patang,8204,Barisal Sadar,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
Batajor,8233,Gouranadi,Barisal,Barisal,N/A,N/A,N/A,Not Found
Gouranadi,8230,Gouranadi,Barisal,Barisal,N/A,N/A,N/A,Not Found
Langutia,8274,Mahendiganj,Barisal,Barisal,0431-64892,N/A,N/A,Google Maps Browser
