postOffice,postCode,thana,district,division,phone,source
Amtali,8710,Amtali,Barguna,Barisal,N/A,Not Found
Bamna,8730,Bamna,Barguna,Barisal,N/A,Not Found
Barguna Sadar,8700,Barguna Sadar,Barguna,Barisal,N/A,Not Found
Nali Bandar,8701,Barguna Sadar,Barguna,Barisal,N/A,Not Found
Betagi,8740,Betagi,Barguna,Barisal,N/A,Not Found
Darul Ulam,8741,Betagi,Barguna,Barisal,N/A,Not Found
Kakchira,8721,Patharghata,Barguna,Barisal,N/A,Not Found
Patharghata,8720,Patharghata,Barguna,Barisal,N/A,Not Found
Agailzhara,8240,Agailzhara,Barisal,Barisal,N/A,Not Found
Gaila,8241,Agailzhara,Barisal,Barisal,N/A,Not Found
Paisarhat,8242,Agailzhara,Barisal,Barisal,N/A,Not Found
Babuganj,8210,Babuganj,Barisal,Barisal,N/A,Not Found
Barisal Cadet,8216,Babuganj,Barisal,Barisal,N/A,Not Found
Chandpasha,8212,Babuganj,Barisal,Barisal,N/A,Not Found
Madhabpasha,8213,Babuganj,Barisal,Barisal,N/A,Not Found
Nizamuddin College,8215,Babuganj,Barisal,Barisal,N/A,Not Found
Rahamatpur,8211,Babuganj,Barisal,Barisal,880-43164892,Web Search
Thakur Mallik,8214,Babuganj,Barisal,Barisal,0431-64892,Web Search
Barajalia,8260,Barajalia,Barisal,Barisal,880-43164892,Web Search
Osman Manjil,8261,Barajalia,Barisal,Barisal,0431-64892,Web Search
Kashipur,8205,Barisal Sadar,Barisal,Barisal,N/A,Not Found
Barisal Sadar,8200,Barisal Sadar,Barisal,Barisal,N/A,Not Found
Jaguarhat,8206,Barisal Sadar,Barisal,Barisal,N/A,Not Found
Bukhainagar,8201,Barisal Sadar,Barisal,Barisal,N/A,Not Found
Saheberhat,8202,Barisal Sadar,Barisal,Barisal,N/A,Not Found
Sugandia,8203,Barisal Sadar,Barisal,Barisal,N/A,Not Found
Patang,8204,Barisal Sadar,Barisal,Barisal,N/A,Not Found
